Band,url,Years,Recorded,Live
158th Infantry Band U.S. Army,158.html,1918,Yes,Yes
Abe Lyman and his Orchestra,abelymano.html,1938,Yes,Yes
Abe Lyman's California Ambassador Hotel Orchestra,abelymancaho.html,1923 to 1937,Yes,Yes
Abe Lyman's California Orchestra,abelymancals.html,1939 to 1941,Yes,Yes
Abe Small and His Melody Boys,abesmall.html,1922 to 1923,Yes,Yes
Adolfo R. Avilés Jazz Band,aviles.html,1927 to 1928,Yes,?
Adrian and his Tap Room Gang,adrianstrg.html,1934,Yes,Yes
Adrian Rollini and his Orchestra,rollinio.html,1923 to 1934,Yes,Yes
Adrian Rollini Quintette,rolliniquin.html,1936 and 1939,Yes,?
Adrian Rollini Trio,rollinitrio.html,1936 to 1940,Yes,Yes
Adrian's Ramblers,adriansramb.html,1934,Yes,?
Al Hammett and his Ambassadors' Orchestra,alhammett.html,1926,Yes,Yes
Al Siegel's Orchestra,aso.html,1924,Yes,?
Al Turks's Orchestra,turkso.html,1926,Yes,Yes
Al Turks's Princess Orchestra,turksprincess.html,1924,Yes,Yes
Albert E. Short's Tivoli Syncopators,tivoli.html,1923,Yes,?
Albert Wynn and his Gut Bucket Five,wynngut.html,1926 and 1928,Yes,?
Alex Hill and his Orchestra,hillo.html,1929,Yes,?
Alex Hill and his Sepians,sepians.html,1934,Yes,Yes
Alex Hyde and his New York Orchestra,alexhydenyo.html,1924,Yes,Yes
Alex Hyde's Original New Yorker Jazz Band,alexhydeny.html,1925,Yes,Yes
Alex Jackson's Plantation Orchestra,alexjackson.html,1927 to 1931,Yes,Yes
All Star Trio,allstartrio.html,1918 to 1922,Yes,Yes
All Star Trio and their Orchestra,allstartrioo.html,1921 to 1922,Yes,?
Andy Kirk and his Twelve Clouds Of Joy,cloudsofjoy.html,1929 to ?,Yes,Yes
Andy Preer and the Cotton Club Orchestra,preer.html,1927,Yes,Yes
Andy Tipaldi and his Orchestra,tipaldio.html,1924,Yes,Yes
Anthony Parenti's Famous Melody Boys,parenti.html,1925,Yes,Yes
Anton Lada's Louisiana Ladds,alll.html,1925 to ?,Yes,Yes
Arcadia Peacock Orchestra of St. Louis,arcadiapeacock.html,1923 to 1925,Yes,Yes
Arcadian Serenaders,arcadian.html,1924 to 1925,Yes,Yes
Arkansas Travelers,arkansastravelers.html,1924 to 1927,Yes,Yes
Armani-C�spito Jazz Band,armanicospito.html,1928 to 1932,Yes,Yes
Arnold Frank and his Roger's Cafe Orchestra,frank.html,1927,Yes,Yes
Art Hickman and his Orchestra,hickman.html,1913 to 1930,Yes,Yes
Art Hickman's New York London Five,newyorklondon.html,1920 to 1921,Yes,Yes
Art Landry and his Call Of The North Orchestra,landrycono.html,1923,Yes,Yes
Art Landry and his Orchestra,landryo.html,1924 to 1926,Yes,Yes
Arthur Briggs' Savoy Syncopators Orchestra,briggs.html,1922 to 1928,Yes,Yes
Arthur Gibbs and his Gang,gibbsgang.html,1923,Yes,Yes
Arthur Schutt and his Orchestra,schutto.html,1929 to 1930,Yes,?
Arthur Sims Creole Roof Orchestra,sims.html,1926,Yes,Yes
Austin and his Musical Ambassadors,ama.html,1926,Yes,?
Baby Dodds Jazz Four,babydoddsjazz4.html,1945,Yes,Yes
Bailey's Dixie Dudes,bailysdixedudes.html,1924,Yes,No
Bailey's Lucky Seven,lucky7.html,1921 to 1926,Yes,No
Bal Tabarin Jazz Orchestra,baltaberin.html,1919,Yes,Yes
Ban-Joe Wallace's Orchestra,bwo.html,1916 to 1922,Yes,Yes
Barbecue Joe and his Hot Dogs,hotdogs.html,1930,Yes,?
Barney Bigard and his Jazzopators,bigardo.html,1938 to 1942,Yes,No
Barney Bigard and his Orchestra,jazzopators.html,1936 to 1940,Yes,No
Barney Bigard Sextet,bigardsextet.html,1935,Yes,No
Barney Zeeman's Kentucky Kardinals,kentuckykardinals.html,1926,Yes,?
Barrel House Five Orchestra,Barrel5.html,1929,Yes,No
Beale Street Washboard Band,bealestreet.html,1929,Yes,No
Ben Pollack and his Californians,pollackcalif.html,1924 to 1928,Yes,Yes
Ben Pollack and his Orchestra,pollacko.html,1930 to 1938,Yes,Yes
Ben Pollack and His Park Central Orchestra,pollackpco.html,1928 to 1929,Yes,?
Ben Pollack and His Pick-A-Rib Boys,pollackparb.html,1937 to 1938,Yes,?
Ben Tobier and his California Cyclones,tobier.html,1930,Yes,?
Ben's Bad Boys,bensbadboys.html,1929,Yes,?
Bennett's Swamplanders,bennett.html,1930,Yes,?
Bennie Krueger and his Orchestra,krueger.html,1920 to 1934,Yes,Yes
Bennie Krueger's Melody Syncopators,kruegerms.html,1920,Yes,Yes
Bennie Washington's Six Aces,bw6a.html,1925,Yes,No
Benny Goodman's Boys,bgb.html,1929,Yes,No
Benson Orchestra of Chicago,benson.html,1921 to 1925,Yes,Yes
Bernie Schultz and his Crescent Orchestra,schultz.html,1923 to 1928,Yes,Yes
Bert Cohan and his Orchestra,cohan.html,1924,Yes,?
Bessie Brown and her Jazz Band,bbjazzband.html,1926 to 1928,Yes,?
Bessie Smith accompanied by Buck and his Band,smithbuck.html,1933,Yes,No
Bessie Smith accompanied by Henderson's Hot Six,smithhh6.html,1925,Yes,No
Bessie Smith accompanied by her Down Home Trio,smithdownhome.html,1923,Yes,No
Bessie Smith and her Band,smithband.html,1925 and 1927,Yes,No
Bessie Smith and her Blue Boys,smithblueboys.html,1925 and 1927,Yes,No
Beverly Syncopators,beverly.html,1928,Yes,?
Bill Brown and his Brownies,bbb.html,1927 to 1928,Yes,?
Bill Haid's Cubs,cubs.html,1928,Yes,Yes
Bill Johnson's Louisiana Jug Band,ljug.html,1929,Yes,?
Billy Arnold et son Orchestre,arnoldo.html,1930 to 1931,Yes,Yes
Billy Arnold's Novelty Jazz Band,banb.html,1920 to 1923,Yes,Yes
Birmingham Bluetette,bluetette.html,1926,Yes,Yes
Birmingham Jug Band,bjb.html,1930,Yes,?
Bix Beiderbecke and his Gang,bixgang.html,1927,Yes,?
Bix Beiderbecke and his Orchestra,bixo.html,1930,Yes,?
Bix Beiderbecke and his Rhythm Jugglers,jugglers.html,1925,Yes,No
Black Birds Of Paradise,blackbirds.html,1927,Yes,Yes
Black Pirates,pirates.html,1928,Yes,?
Blake's Jazzone Orchestra,jazzone.html,1917,Yes,Yes
Blind Willie Dunn and his Gin Bottle Four,gin.html,1929,Yes,No
Blind Willie Dunn and Lonnie Johnson,dunnjohnson.html,1928 to 1929,Yes,No
Blue Ribbon Syncopators,blueribbon.html,1925 to 1927,Yes,Yes
Blue Steele and his Orchestra,blsteele.html,1927 to 1930,Yes,Yes
Blythe and Burton,blytheandburton.html,1928,Yes,?
Blythe and Clark,blytheandclark.html,1931,Yes,?
Blythe's Owls,blythesowls.html,1927,Yes,No
Blythe's Sinful Five,bs5.html,1926,No,?
Blythe's Washboard Band,bwash.html,1926,Yes,?
Blythe's Washboard Ragamuffins,blyther.html,1926,Yes,?
Bobbie Sax and his Orchestra,bobbysax.html,1930s,Yes,?
Bogan's Birmingham Busters,bogansbb.html,1937 to ?,Yes,Yes
Borbee's Jass Band,borbee.html,1917,Yes,Yes
Boston Orchestra,bostono.html,1925,Yes,?
Boyd Senter and His Senterpedes,senterpedes.html,1929 to 1930,Yes,?
Boyd Senter Trio,sentertrio.html,1928,Yes,?
Brady's Clarinet Band,brady.html,1927,Yes,?
Brown and Terry's Jazzola Boys,jazzolaboys.html,1921,Yes,?
Brownlee's Orchestra of New Orleans,brownlee.html,1920 to 1930,Yes,Yes
Bubber Miley and his Mileage Makers,bmmm.html,1930,Yes,Yes
Bucktown Five,buck5.html,1924,Yes,?
Bud Freeman and his Orchestra,bfo.html,1928,Yes,?
Buddy Christian's Creole Five,creolefive.html,1926,Yes,?
Buddy Christian's Jazz Rippers,jazzrippers.html,1926,Yes,?
Busse's Buzzards,bussebuzz.html,1925,Yes,Yes
Buster Bailey and his Rhythm Busters ,bbrb.html,NA,NA,NA
Buster Bailey and his Seven Chocolate Dandies,bb7cd.html,1934,Yes,?
Buster Bailey and his Sextet,bbsextet.html,1940,Yes,?
California Poppies,poppies.html,1923,Yes,Yes
California Ramblers,caramblers.html,?,Yes,Yes
Californiacs,californiacs.html,1925,Yes,?
Cannon's Jug Stompers,cjs.html,1928 to 1930,Yes,Yes
Carl Kress and Dick Mcdonough,kressmcdonough.html,1934 and 1937,Yes,No
Carlyle Stevenson's Bon Ton Orchestra,bonton.html,1925,Yes,Yes
Carlyle Stevenson's El Patio Orchestra,elpatio.html,1925,Yes,Yes
Carmichael's Collegians,carcoll.html,1926 to 1928,Yes,Yes
Carolina Club Orchestra,carolinaclub.html,1924 to 1931,Yes,Yes
Carolina Cotton Pickers,carolina.html,1923 to 1932,Yes,Yes
Casino Jazzers,casinojazzers.html,1929 to 1930,Yes,No
Cassidy's New Rhythmists,cnr.html,1929,Yes,?
Cecil Scott and his Bright Boys,csbb.html,1929,Yes,Yes
Charles A. Matson's Creole Serenaders,creoleserenaders.html,1923,Yes,?
Charles Creath's Jazz-O-Maniacs,maniacs.html,1924 to 1927,Yes,Yes
Charles Fulcher and his Orchestra,fulcher.html,1923 to 1929,Yes,Yes
Charles Pierce and his Orchestra,pierce.html,1927 to 1928,Yes,No
Charles Remue and his New Stompers Orchestra,remue.html,1927,Yes,Yes
Charleston Chasers,charleston.html,1925 to 1931,Yes,No
Charley Straight's Orchestra,straight.html,1923 to 1928,Yes,Yes
Charlie Johnson's Paradise Orchestra,cjpo.html,1925 to 1930,Yes,Yes
Charlie Skeete and his Orchestra,skeete.html,1926,Yes,?
Charlie Troutt's Melody Artists,trout.html,1927,Yes,?
Chicago Blues Dance Orchestra,cbdo.html,1923,Yes,?
Chicago DeLuxe Orchestra,chicagodeluxe.html,1924,Yes,?
Chicago Footwarmers,cfootwarmers.html,1927 to 1928,Yes,?
Chicago Hot 5,chicagohot5.html,1931 and 1932,Yes,Yes
Chicago Hottentots,hotentots.html,1926,Yes,?
Chicago Rhythm Kings,crk.html,1928,Yes,Yes
Chocolate Dandies,chocolate.html,"1928, 1930, 1933, 1940",Yes,No
Chubb-Steinberg Orchestra of Cincinnati,chubb.html,1924 to 1930,Yes,Yes
Cincinnati Jug Band,cjb.html,1929,Yes,?
Ciros Club Coon Orchestra,clubcoon.html,1916 and 1917,Yes,Yes
Clara Smith accompanied by her Jazz Trio,clarasmithjt.html,1924,Yes,No
Clara Smith and her Five Black Kittens,clarasmith5bk.html,1924,Yes,No
Clara Smith and her Jazz Babies,clarasmithbabies.html,1924,Yes,No
Clara Smith and her Jazz Band,clarasmithjb.html,1924,Yes,No
Clara Smith and her Novelty Band,clarasmithnb.html,1924,Yes,No
Clarence Black's Savoy Trio,savoytrio.html,1928,Yes,?
Clarence Jones and his Sock Four,clarencejones.html,1926 to 1928,Yes,?
Clarence Williams and his Bottomland Orchestra,cwbo.html,1927,Yes,Yes
Clarence Williams' Blue Five,williamsb5.html,1923 to 1927,Yes,?
Clarence Williams' Blue Seven,williamsb7.html,1926 to 1927,Yes,No
Clarence Williams' Jazz Kings,cwjazzkings.html,1926 to 1929,Yes,No
Clarence Williams' Jug Band ,cwjugband.html,NA,NA,NA
Clarence Williams' Novelty Band,noveltyband.html,1930,Yes,No
Clarence Williams' Novelty Four,novelty4.html,1928,Yes,No
Clarence Williams' Stompers,cwstompers.html,1926,Yes,No
Clarence Williams' Washboard Band,cwwbb.html,1926 to 1930,Yes,No
Clarence Williams' Washboard Five,cwwb5.html,1926,Yes,No
Clarence Williams' Washboard Four,cwwb4.html,1927,Yes,No
Clementine Smith accompanied by the Kansas City Five,clementinesmith.html,1924,Yes,?
Clicquot Club Eskimos,eskimos.html,1925 to 1935,Yes,Yes
Cliff Edwards accompanied by Andy Iona and his Islanders,edwardsiona.html,1936,Yes,?
Cliff Edwards accompanied by the Californians,edwardscalifornians.html,1932,Yes,?
Cliff Edwards and his Hot Combination,ike.html,1925 to 1926,Yes,No
Cliff Edwards and The Eton Boys,eton.html,1934,Yes,No
Cliff Jackson and his Crazy Cats,crazycats.html,1929 to 1930,Yes,Yes
Clifford's Louisville Jug Band,ljb.html,1925,Yes,?
Club Royal Orchestra,clubroyalo.html,1921 to 1922,Yes,?
Coney Island Jazz Orchestra,coneyislandjazzo.html,1919,Yes,?
Cook and his Dreamland Orchestra,cdo.html,1922 to 1928,Yes,Yes
Cookie's Ginger Snaps,cookie.html,1926,Yes,?
Coon Sanders Nighthawks Orchestra,coonsanders.html,1919 to 1935,Yes,Yes
Cotton Club Orchestra,cottoncluborchestra.html,1925 to 1927,Yes,Yes
Cotton Pickers,cottonpickers.html,1922 to 1925,Yes,No
Crickett Smith and his Symphonians,symphonians.html,?,Yes,Yes
Curtis Mosby and his Dixieland Blue Blowers,mosby.html,1923 to 1929,Yes,Yes
Dabney's Band,dabneysband.html,1917 to 1920,Yes,Yes
Daisy Martin and her Jazz Bell Hops,dmjazzbellhops.html,1921,Yes,?
Daisy Martin and her Royal Tigers,demroyaltigers.html,1921,Yes,?
Daisy Martin with the Tampa Blue Jazz Band,dmtampablue.html,1921,Yes,?
Dan and Harvey's Jazz Band,dhjb.html,1918 to 1919,Yes,Yes
Danny Altier and his Orchestra,altier.html,1928,Yes,No
Dave Caplan's Toronto Band,caplan.html,1926 to 1927,Yes,Yes
Dave Harman and his Orchestra,harman.html,1924 to 1934,Yes,Yes
Dave Nelson and the King's Men,kingsmen.html,1931,Yes,?
Dave's Harlem Highlights,dhh.html,1931,Yes,?
Deppe's Seranaders,deppe.html,1923,Yes,?
Detroit Melodists,detroitmelodists.html,1923 to 1924,Yes,Yes
Devonshire Resturant Dance Band,devonshire.html,1926 to 1927,Yes,Yes
Dewy Jackson's Peacock Orchestra,peacock.html,1925 to 1926,Yes,Yes
Diamond King's Jazz Band,diamondking.html,1922,Yes,?
Dixie Boys,dixieboys.html,1925,Yes,?
Dixie Daisies,DixieDaisies.html,1921 to 1929,Yes,Yes
Dixie Four,dixie4.html,1928,Yes,?
Dixie Rhythm Kings,dixierhythmkings.html,1929,Yes,?
Dixie Serenaders,dixieserenaders.html,1928 to 1931,Yes,Yes
Dixie Stompers,ds.html,1926 to 1927,Yes,?
Dixon and Channey,dixonandchanney.html,1927,Yes,?
Dixon's Jazz Duo,jazzduo.html,1926,Yes,?
Dixon's Jazz Maniacs,jazzmaniacs.html,1926 to 1927,Yes,?
Django Reinhardt and his American Swing Band,atc.html,1945,Yes,Yes
Doc Cook and his 14 Doctors of Syncopation,14doctors.html,1927,Yes,?
Dodds And Parham,dap.html,1927,Yes,No
Doherty's Melody Boys,doherty.html,1923 to 1925,Yes,Yes
Don Bestor and his Orchestra,bestoro.html,1925 to 1937,Yes,Yes
Don Redman and his Orchestra,"redmano.html,redmano.html,redmano.html,redmano.html","1931 to 1940,1931 to 1940,1931 to 1940,1931 to 1940","Yes,Yes,Yes,Yes","Yes,Yes,Yes,Yes"
Donald Lindley and his Boys,lindleyboys.html,1928,Yes,?
Douglas Finnell and his Royal Stompers,finnell.html,1929,Yes,?
Duane Sawyer and his Orchestra,duanesawyer.html,1919,Yes,?
Duke Ellington and his Cotton Club Orchestra,dukecco.html,1927 to 1931,Yes,Yes
Duke Ellington and his Kentucky Club Orchestra,kentucky.html,1926 to 1927,Yes,Yes
Duke Ellington And His Memphis Men,turnermm.html,1929,Yes,?
Duke Ellington and his Orchestra,dukeo.html,1926 to 1936,Yes,Yes
Dunk Rendleman and the Alabamians,rendleman.html,1927,Yes,?
E.C. Cobb And His Corn Eaters,corneaters.html,1928,Yes,?
Earl Fuller's New York Orchestra,fullernyo.html,1921,Yes,Yes
Earl Fuller's Rector Novelty Orchestra,fullersrector.html,1917 -1919,Yes,Yes
Earl Hines and his Orchestra,eho.html,1929,Yes,Yes
Ed Lang and his Orchestra,edlango.html,1929,Yes,?
Eddie and Sugar Lou's Hotel Tyler Orchestra,hoteltyler.html,1929 to 1931,Yes,Yes
Eddie Carlew's Baby Aristocrats,carlew.html,1927,Yes,Yes
Eddie Condon and his Band,condonband.html,1938 to ?,Yes,Yes
Eddie Condon and his Footwarmers,ecfw.html,1928,Yes,?
Eddie Condon Quartet,ecq.html,1928,Yes,?
Eddie Frazier and his Plantation Orchestra,frazier.html,1925,Yes,Yes
Eddie Heywood and his Jazz Six,jazz6.html,1928,Yes,Yes
Eddie Johnson's Crackerjacks,eddiejohnson.html,1932 to 1938,Yes,Yes
Eddie Miles and his Florentine Orchestra,florentine.html,1927,Yes,?
Eddie South and his Alabamians,alabamians.html,1927 to 1929,Yes,Yes
Eddie's Hot Shots,ehotshots.html,1929,Yes,?
Edith Wilson and her Original Jazz Hounds,ewjh.html,1921 to 1922,Yes,Yes
Edmonia Henderson accompanied by Lovie Austin and her Blues Serenaders,ehendersonla.html,1923 to 1924,Yes,Yes
Edmonia Henderson accompanied by Tommy Ladnier and his Orchestra,ehendersonla.html,1923 to 1924,Yes,Yes
Edna Hicks accompanied by Fletcher Henderson's Orchestra,ehicksfh.html,1923 to 1924,Yes,No
Edna Hicks accompanied by Lovie Austin and her Blues Serenaders,ehickslabs.html,1924,Yes,No
Edna Hicks accompanied by Porter Grainger's Sawin' Three,ehickssawin.html,1923,Yes,No
Eduardo Armani y su Orquesta,armanio.html,1932 to 1950s,Yes,Yes
Edwin J. McEnellys Orchestra,mcenelly.html,1902 to 1942,Yes,Yes
Eleuterio Yribarren Jazz Band,eyjb.html,1922 to 1932,Yes,Yes
Elgars Creole Orchestra,elgars.html,1926,Yes,Yes
Elio Rietti y su Jazz Band,eliorietti.html,1927 to 1930,Yes,Yes
Ellen Coleman accompained Lem Fowler's Orchestra,coleman.html,1923,Yes,?
Elmer Schoebel and his Friars Society Orchestras,esfso.html,1929,Yes,Yes
Emerson Gill and his Orchestra,gill.html,1924 to 1925,Yes,Yes
Emil Seidel and his Orchestra,seidel.html,1925 to 1928,Yes,Yes
Emmett Miller accompanied by his Georgia Crackers,georgiacrackers.html,1924 to 1930,Yes,No
Empire Jazz Band ,syncho.html,NA,NA,NA
Eric Concerto's Yankee Jazz Band,concerto.html,1920 to 1921,Yes,Yes
Ernö Rapee's Jazz Symphoniker,rappee.html,1926,Yes,?
Erskine Tate's Vendome Orchestra,etvo.html,?,Yes,?
Ethel Waters accompanied by Albury's Blue and Jazz Seven,watersalbury.html,1921,Yes,?
Ethel Waters accompanied by her Ebony Four,waterse4.html,1925 and 1926,Yes,?
Ethel Waters accompanied by Lovie Austin's Blues Serenaders,watersla.html,1924,Yes,?
Ethel Waters accompanied by Will Marion Cook's Singing Orchestra,waterscook.html,1926b,Yes,?
Ethel Waters' Jazz Masters,watersjazzmasters.html,1921 to 1923,Yes,?
Eubie Blake and his Orchestra,blakeo.html,1922 and 1931,Yes,?
Eubie Blake and his Shuffle Along Orchestra,shufflealong.html,1921,Yes,Yes
Eubie Blake Trio,blaketrio.html,1917,Yes,Yes
Europe's Society Orchestra,eso.html,1913 to 1914,Yes,Yes
Fate Marable's Society Syncopators,fate.html,1924,Yes,Yes
Fats Waller and his Buddies,buddies.html,1929,Yes,No
Fats Waller and his Continental Rhythm,continental.html,1938,Yes,?
Fats Waller and his Orchestra,fatso.html,1935 and 1938,Yes,No
Fats Waller and his Rhythm,rhythm.html,1933 to 1943,Yes,Yes
Fats Waller his Rhythm and his Orchestra,rhythmorchestra.html,1941 to 1942,Yes,Yes
Fatty Martin's Orchestra,fattymartin.html,1925,Yes,Yes
Faye Barnes accompanied by Fletcher Henderson's Orchestra,fbfho.html,1924,Yes,?
Feathers and Frogs,feathersandfrog.html,1929,Yes,?
Fess Williams and his Joy Boys,joyboys.html,1929,Yes,Yes
Fess Williams and his Royal Flush Orchestra,royalflush.html,1925 to 1930,Yes,Yes
Fisbach's Charleston Orchester,fisbach.html,1925,Yes,?
Fletcher Henderson and his Sawin' Six,sawin.html,1923 to 1924,Yes,Yes
Flo Bert with Orchestra,flobert.html,1920,Yes,Yes
Flo Johnson and her Beale Street Five,fjbs5.html,1923,Yes,?
Floyd Mills and his Marylanders,marylanders.html,1929,Yes,?
Ford Dabney's Syncopated Orchestra,dabneysso.html,1922,Yes,?
Fowler's Favorites,fowlersfavorites.html,1927,Yes,?
Fowler's Washboard Wonders,fww.html,1925,Yes,?
Francisco Lomuto Jazz Band,lomuto.html,1924 to 1927,Yes,?
Frank Brunch and his Fuzzy Wuzzies,fuzzywuzzies.html,1927,Yes,?
Frank Guarente's World Known Georgians,guarentegeorgians.html,1926,Yes,yes
Frank Signorelli and his Orchestra,fso.html,1926,Yes,?
Frank Teschemacher's Chicagoans,ftc.html,1928,Yes,?
Frank Westphal and his Orchestra,westphal.html,1922 to 1924,Yes,Yes
Frank Westphal and his Rainbo Orchestra,westphalrainbo.html,1922,Yes,Yes
"Frankie ""Half Pint"" Jaxon accompanied by Punches Delegates of Pleasure",Pleasure.html,1929,Yes,?
"Frankie ""Half Pint"" Jaxon accompanied by the Harlem Hamfats",hamfats.html,1937 to 1938,Yes,?
"Frankie ""Half Pint"" Jaxon and his Hot Shots",fjhotshots.html,1933,Yes,?
Frankie and her Jazz Devils,missfrankie.html,1926,Yes,?
Frankie Franko and his Louisianians,franco.html,1928,Yes,Yes
Frankie Quartell and his Little Club Orchestra,quartelllco.html,1928,Yes,?
Frankie Quartell and his Melody Boys,quartellmb.html,1924,Yes,?
Frankie Trumbauer and his Orchestra,fto.html,1925 to 1934,Yes,Yes
Fred Culley and his Royal York Hotel Orchestra,culley.html,1929 to 1932,Yes,Yes
Fred Elizalde and his Anglo American Band,angloamerican.html,1928,Yes,Yes
Fred Hall and his Orchestra,hallo.html,1925 to 1927,Yes,Yes
Fred Hall and his Sugar Babes,sugarbabies.html,1925 to 1930,Yes,Yes
Fred Hall's Jazz Band,hall.html,1928,Yes,Yes
Fred Hamm and his Orchestra,hamm.html,1925,Yes,Yes
Fred Ozark's Jug Blowers,fojb.html,1924,Yes,No
Fulcher's Dance Trio,fulchertrio.html,1925,Yes,?
Futurist Jazz Band ,syncho.html,NA,NA,NA
Garden Dancing Palace Orchestra,garden.html,1927 to 1928,Yes,?
Gennett Orchestra,gennetto.html,1917,Yes,?
George Carhart's New Yorkers,carhart.html,1927,Yes,Yes
George E. Lee and his Novelty Singing Orchestra,lee.html,1920 to 1935,Yes,Yes
George McClennon's Jazz Devils,jazzdevils.html,1924 to 1926,Yes,?
George Osborn and his Orchestra,osborn.html,1927,Yes,Yes
