Band,url,Years,Recorded,Live
Miss Jacoba and Mr. Paulus with Jass-Band Orchest,jacoba.html,?,Yes,?
Miss Lee accompanied by her Jazz Boys,misslee.html,1921,Yes,?
Missourians,missourians.html,1928 to 1930,Yes,Yes
Mitchell's Jazz Kings,mitchellsjk.html,1921 to 1923,Yes,Yes
Monarch Jazz Quartet,mjq.html,1929,Yes,?
Monette Moore accompanied by Clarence Jones' Paramount Trio,mmcjpt.html,1923,Yes,?
Monette Moore's Swing Shop Boys,mmb.html,1936,Yes,?
Monk Hazel and his Bienville Roof Orchestra,monkhazel.html,1928,Yes,Yes
Morrison's Jazz Band,morrisons.html,1920,Yes,?
Muggsy Spanier and his Ragtime Band,ragtimeband.html,1939,Yes,Yes
Muggsy Spanier and his Ragtimers,ragtimers.html,1942 to 1944,Yes,Yes
Muggsy Spanier and his V-Disc All-Stars,vdisc.html,1944,Yes,No
Murray Pilcer and his Jazz Band,pilcer.html,1919,Yes,Yes
Musical Stevedores,musical.html,1929,Yes,?
Mutt Carey and his New Yorkers,muttny.html,1947,Yes,Yes
Napoleon's Emperors,emperors.html,1929,Yes,?
Nashville Jazzers,nashvillejazzers.html,1929,Yes,No
Naylor's Seven Aces,7aces.html,1924 to 1925,Yes,Yes
Neger Jazz Orchester,neger.html,1924,Yes,?
Nelson's Paramount Serenaders,Paramount.html,1927,Yes,?
New Orleans Blue Five,nob5.html,1926,Yes,No
New Orleans Bootblacks,boot.html,1926,Yes,No
New Orleans Feetwarmers,footwarmers.html,1931 to,Yes,Yes
New Orleans Owls,owls.html,1925 to 1927,Yes,Yes
New Orleans Rhythm Kings,nork.html,1922 to 1935,Yes,Yes
New Orleans Wanderers,now.html,1926,Yes,No
New Princes' Toronto Band,newprinces.html,1924 to 1926,Yes,Yes
Noah Lewis and his Jug Band,nljb.html,1930,Yes,?
Noble Sissle and his International Orchestra,sissleio.html,1934,Yes,Yes
Noble Sissle and his Orchestra,sissleo.html,1928 to 1931,Yes,Yes
Noble Sissle and his Sizzling Syncopators,sissless.html,1921 to 1922 and 1930,Yes,Yes
Noble Sissle's Swingsters,swingsters.html,1937,Yes,Yes
Norfolk Jazz Quartette,norfolk.html,1921 to 1937,Yes,Yes
Novelty Five,novelty5.html,1919 to 1920,Yes,?
O'Bryant's Washboard Band,obryant1.html,1925,Yes,?
Odeon Five,odeon5.html,1926,Yes,?
Old Southern Jug Band,osjb.html,1924,Yes,Yes
Oliver Cobb and his Rhythm Kings,ocobb.html,1929,Yes,?
Oliver Naylor's Orchestra,naylor.html,1925,Yes,Yes
Ollie Powers' Harmony Syncopators,ophs.html,1923,Yes,?
Omer Simeon Trio,ost.html,1945,Yes,?
Orchestre Arthur Briggs and his Boys,briggsboys.html,1929,Yes,?
Orchestre Billy Max,billymax.html,1924,Yes,?
Orchestre Pollard's Six,pollard.html,1923,Yes,?
Orchestre Syncopated Six,oss.html,1923,Yes,?
Orchestre The Playboys,playboys.html,1927,Yes,?
Oriental Jazzers,orientaljazzers.html,1929,Yes,No
Original Capitol Orchestra,oco.html,1923 to 1924,Yes,Yes
Original Crescent City Jazzers,cresent.html,1924,Yes,Yes
Original Excentric Band,excentric.html,1919,Yes,?
Original Georgia Five,og5.html,1923,Yes,Yes
Original Indiana Five,oi5.html,1923 to 1929,Yes,Yes
Original Jazz Hounds,ojh.html,1925,Yes,?
Original Louisiana Five,ol5.html,1924,Yes,Yes
Original Memphis Five,om5.html,1922 to 1931,Yes,Yes
Original Memphis Melody Boys,ommb.html,1923,Yes,?
Original Midnight Ramblers Orchesta,omro.html,1925,Yes,?
Original Oslo Jazzband,oslojazzband.html,1925,Yes,?
Original Ramblers,originalramblers.html,1929,Yes,?
Original Saxo-Jazz Band,originalsaxojazzband.html,1918 ?,Yes,?
Original Six,original6.html,1922 to 1923,Yes,?
Original Tuxedo Jazz Orchestra,tuxedo.html,1916 to 1928,Yes,Yes
Original Wolverines,owolverines.html,1927 to 1928,Yes,Yes
Orpheum Duo,orpheumduo.html,1919,Yes,?
Palais Royal Californians,palaisroyalcalifornians.html,1926,Yes,Yes
Palledo Orchestra Of St. Louis,palledo.html,1925,Yes,?
Paramount Pickers,paramountpickers.html,1929,Yes,?
Parenti's Liberty Syncopators,Liberty.html,1925 to 1926,Yes,Yes
Parham - Pickett Apollo Syncopators,apollo.html,1926,Yes,Yes
Parham's Black Patti Band,pbpb.html,1928,Yes,?
Paul Ash and his Granada Orchestra,ashgo.html,1923 to 1924,Yes,Yes
Paul Ash and his Orchestra,asho.html,1926 to 1937,Yes,Yes
Paul Ash and his Pabst Blue Ribbon Casino Orchestra,ashpbr.html,1933,Yes,Yes
Paul Biese and his Edgewater Beach Orchestra,edgewater.html,1924,Yes,Yes
Paul Biese and his Novelty Orchestra,bieseno.html,1918 to 1919,Yes,Yes
Paul Biese Orchestra,bieseo.html,1919 to 1924,Yes,Yes
Paul Biese Trio,biesetrio.html,1919 to 1920,Yes,Yes
Paul Biese's College Inn Orchestra,biesecollege.html,1920,Yes,Yes
Paul Howard's Quality Serenaders,paulhoward.html,1929 to 1930,Yes,Yes
Paul Reischmann's Jazz Babies,reischmann.html,mid-1930s,Yes,?
Phil Baxter and his Orchestra,Baxter.html,1925 to 1929,Yes,Yes
Phil Napoleon and his Orchestra,philnapo.html,1926 to 1927,Yes,?
Phillips Louisville Jug Band,pljb.html,1930,Yes,?
Picaninny Jug Band,pjb.html,1932,Yes,?
Pinkie's Birmingham Five,pinkies.html,1925,Yes,?
Piron's New Orleans Orchestra,pnoo.html,1918 to 1925,Yes,Yes
Porter's Blue Devils,porters.html,1923,Yes,?
Powell's Jazz Monarchs,powells.html,1926,Yes,?
Preston Jackson and his Uptown Band,uptownband.html,1926,Yes,?
Prince Albert Hunt's Texas Ramblers,princealbert.html,1928 to 1931,Yes,Yes
Puritan Jazz Band,puritanjazzband.html,1924,Yes,?
Quintette of the Hot Club of France,hotclubfrance.html,1935 to 1942,Yes,Yes
Ralph Williams and his Rainbo Orchestra,rwro.html,1924,Yes,Yes
Ray Miller and his Hotel Gibson Orchestra,hotelgibson.html,1927 to 1928,Yes,Yes
Ray Miller's Black And White Melody Boys,blackandwhite.html,1920 to 1922,Yes,Yes
Ray Tellier and his San Francisco Orchestra,tellier.html,1925 and 1928,Yes,Yes
Ray Ventura et ses Collegiens,ventura.html,1929,Yes,?
Reb Spikes Club Forty Fives,rlc45.html,1924,Yes,Yes
Reb Spikes Majors and Minors,rsmm.html,1927,Yes,Yes
Reb's Legion Club Forty Fives,rlc45.html,1924,Yes,Yes
Red Allen and his Orchestra,redalleno.html,1940 to 1941,Yes,Yes
Red And Miff's Stompers,redmiff.html,1926,Yes,?
Red Mckenzie & his Mound City Blue Blowers,mound.html,?,Yes,Yes
Red McKenzie and his Music Box,musicbox.html,1927 to 1928,Yes,No
Red McKenzie and his Orchestra,mckenzieo.html,1933 and 1937,Yes,No
Red McKenzie and his Rhythm Kings,rmrk.html,1935 to 1937,Yes,?
Red McKenzie with the Spirits Of Rhythm,mckenziesor.html,1934,Yes,?
Red Nichols and his Five Pennies,rn5p.html,?,Yes,Yes
Red Nichols' Stompers,rns.html,1927,Yes,Yes
Red Onion Jazz Babies,redonion.html,1924 to 1925,Yes,No
Rene Cóspito and his Jazz Band,cospito.html,1932 to 1950s,Yes,Yes
René Dumont Jazz Band,dumont.html,1927 to 1930,Yes,Yes
René Dumont von der Villa D'Este,dumont2.html,1927 to 1930,Yes,Yes
Rhythmakers,rhythmakers.html,1932,Yes,No
Rhythmic Eight,rhythmic8.html,1928 to 1931,Yes,Yes
Richard M. Jones' Jazz Wizards,jazzwizards.html,1925 to 1935,Yes,No
Richard M. Jones' Three Jazz Wizards,3jazzwizards.html,1925,Yes,No
Richmond Starlight Jazz Quartette,rsjq.html,1928,Yes,?
Roberta Dudley accompanied by Ory's Orchestra,dudley.html,1922,Yes,Yes
Robinson's Knights Of Rest,rkor.html,1930,Yes,?
Roger Wolfe Kahn and his Hotel Biltmore Orchestra,rwkahnhbo.html,1925,Yes,Yes
Roger Wolfe Kahn and his Orchestra,rwkahno.html,1925 to 1932,Yes,Yes
Rosa Henderson accompanied by Fletcher Henderson's Club Alabam Orchestra,rhfhcao.html,1924,Yes,No
Rosa Henderson accompanied by Fletcher Henderson's Jazz Five,rhfhj5.html,1924,Yes,No
Rosa Henderson accompanied by Fletcher Henderson's Orchestra,rhfho.html,1924,Yes,No
Rosa Henderson accompanied by the Four Black Diamonds,rh4bd.html,1926,Yes,?
Rosa Henderson accompanied by the Kansas City Five,rhkc5.html,1924,Yes,?
Rosa Henderson accompanied by the Kansas City Four,rhkc4.html,1928,Yes,?
Rosa Henderson accompanied by the Three Hot Eskimos,rh3he.html,1926,Yes,?
Rosa Henderson accompanied by the Three Jolly Miners,rhtjm.html,1925,Yes,?
Rosa Henderson accompanied by the Virginians,rhv.html,1923,Yes,No
Rosa Henderson and the Choo Choo Jazzers,rhccj.html,1924,Yes,?
Rosetta Crawford accompanied by James P. Johnson's Hep Cats,rcrawfordhep.html,1939,Yes,?
Rosetta Crawford accompanied by King Bechet Trio,kbt.html,1923,Yes,?
Ross Deluxe Syncopaters,ross.html,1927 to 1931,Yes,Yes
Rube Bloom and his Bayou Boys,rbbb.html,1930,Yes,No
"Ruben ""River"" Reeves and his River Boys",riverboys.html,1929 and 1933,Yes,No
"Ruben ""River"" Reeves and his Tributaries",tributaries.html,1929,Yes,No
Russell's Hot Six,rhot6.html,1926,Yes,?
Ruth Lee accompanied bySpikes Seven Pods Of Pepper Orchestra,ruthlee.html,1922,Yes,No
Salty Dog Four,saltydogfour.html,1930,Yes,?
Sam Lanin's Troubadours,slt.html,1930,Yes,No
Sam Morgan's Jazz Band,sammorgen.html,1927 to 1932,Yes,Yes
Sam Wooding and his Orchestra,woodingo.html,1920 to 1935,Yes,Yes
Sammie Lewis with his Bamville Syncopators,bamville.html,1923b to 1926,Yes,Yes
Sammy Price and his Four Quarters,price.html,1929,Yes,?
Sammy Stewart and his Orchestra,stewart.html,1928,Yes,Yes
Sammy Stewart and his Ten Knights Of Syncopation,tenknights.html,1924,Yes,Yes
Sammy Swift Jazz Band,swift.html,1921 or 1922,Yes,?
Sara Martin accompanied by Clarence Williams' Harmonizers,martincwh.html,1924,Yes,No
Sara Martin accompanied by Harry's Happy Four,martinhh4.html,1924,Yes,No
Sara Martin accompanied by W.C. Handy's Orchestra,martinhandy.html,1923,Yes,Yes
Sara Martin and Clarence Williams' Harmonizing Four,martincwh4.html,1924,Yes,No
Savoy Bearcats,bearcats.html,1924 to 1926,Yes,Yes
Savoy Quartet,savoyquartet.html,1915 to 1920,Yes,Yes
Saxi Holtsworth's Harmony Hounds,saxi.html,1920 to 1924,Yes,Yes
Saxo Sextette,saxosextette.html,1917,Yes,Yes
Saxojazz Orchestra,saxojazz.html,1918,Yes,?
Saxophone Sextette,saxophonesextette.html,1918,Yes,?
Scorpion Washboard Band,swb.html,1933,Yes,?
Searcy Trio,searcy.html,1926,Yes,?
Seattle Harmony Kings,seattle.html,1925 to 1926,Yes,?
Seminole Syncopators,seminole.html,1924,Yes,Yes
Sepia Serenaders,sepiaserenaders.html,1934,Yes,?
Seven Black Dots,7blackdots.html,1929,Yes,No
Seven Blue Babies,7blubabies.html,1928 to 1929,Yes,No
Seven Brown Babies,7brnbabies.html,1923,Yes,No
Seven Gallon Jug Band,7gallonjug.html,1929,Yes,No
Shamrock Jazzers,shamrockjazzers.html,1929,Yes,No
Sidney Bechet and his Orchestra,becheto.html,1938,Yes,Yes
Siglers Birmingham Merrymakers,sigler.html,1929,Yes,?
Sioux City Six,sc6.html,1924,Yes,No
Sissle and Blake,sissleandblake.html,1920 to 1927,Yes,Yes
Six Brown Brothers,6brownbrothers.html,1910 to 1934,Yes,Yes
Slatz Randall and his Orchestra,slatzrandall.html,1928 to 1932,Yes,Yes
Slim Lamar and his Southerners,lamar.html,1928 to 1929,Yes,Yes
Sol Hoopii's Novelty Trio,shnt.html,1926 to 1931,Yes,Yes
Sol S.Wagner and his Orchestra,wagner.html,1923 to 1927,Yes,Yes
Sonny Clay's Plantation Orchestra,sonnyclay.html,1925 to 1926,Yes,Yes
Sophie Tucker accompanied by Miff Mole's Molers,tuckermmm.html,1927,Yes,No
Southern Rag-A-Jazz Band,southernragajazz.html,1921,Yes,Yes
Souvenirs de Django Reinhardt,souvenirs.html,1947,Yes,Yes
Spikes' Seven Pods of Pepper Orchestra,pods.html,1922,Yes,Yes
St. Louis Levee Band,stlouislb.html,1926,Yes,No
State Street Ramblers,ssr.html,1927 to 1931,Yes,?
Stomp Six,stomp6.html,1925,Yes,No
Stompin' Six,stompin6.html,1925,Yes,Yes
Sunny Clapp and his Band O' Sunshine,clapp.html,1929 to 1931,Yes,Yes
Super Syncopators,supersyncopators.html,1925,Yes,?
Susie Smith accompanied by The Choo Choo Jazzers,sschoochoo.html,1924 to 1925,Yes,?
Susie Smith accompanied by The Texas Trio,sstt.html,1925,Yes,?
Susie Smith and Billy Higgins accompanied by The Choo Choo Jazzers,sschoochoo.html,1925,Yes,?
Syd Valentine's Patent Leather Kids,valentine.html,1928 to 1929,Yes,Yes
Synco Jazers,syncojazers.html,"",Yes,?
Synco Jazz Band,syncho.html,1919 to 1926,Yes,Yes
Syncopating Five,s5.html,1920 to 1923,Yes,Yes
Syncopating Seven,s7.html,1922 to 1923,Yes,Yes
Syncopating Skeeters,skeeters.html,1922,Yes,?
Tampa Blue Jazz Band,tampablujb.html,1921 to 1923,Yes,?
Taylor's Dixie Orchestra,tdo.html,1931 to 1934,Yes,?
Te Roy Williams and his Orchestra,teroy.html,1928,Yes,?
Ted Claire's Snappy Bits Band,snappy.html,1923,Yes,?
Ted Lewis and his Band,tlband.html,1922 to 1941,Yes,Yes
Ted Weems and his Orchestra,weems.html,1923 to 1942,Yes,Yes
Teddy Kline Orchester,klineo.html,1929 to ?,Yes,?
Tennessee Ten,tnten.html,1923 and 1926,Yes,?
Tennessee Tooters,tntoot.html,1925 to 1926,Yes,?
Texas Alexander accompanied by his Sax Black Tams,talexandersbt.html,1934,Yes,?
Texas Alexander accompanied by the Mississippi Sheiks,talexanderms.html,1934,Yes,?
The Bennie Moten's Kansas City Orchestra,bmkc.html,1923 to 1935,Yes,Yes
The Big Aces,bigaces.html,1928,Yes,No
The Blue Rhythm Orchestra,br.html,1924,Yes,No
The Broadway Bellhops,bellhops.html,1927,Yes,No
The Captivators,captivators.html,1929 to 1930,Yes,No
The Cellar Boys,cellar.html,1930,Yes,?
The Charleston Seven,c7.html,1924,Yes,No
The Chicago Loopers,loopers.html,1927,Yes,No
The Collegians,collegians.html,1923,Yes,Yes
The Dorsey Brothers Concert Orchestra,dorseyconcert.html,1928 to 1929,Yes,Yes
The Dorsey Brothers Orchestra,dorseybros.html,1928 to 1935 and 1953 to 1956,Yes,?
The Five Musical Blackbirds,5mb.html,1926,Yes,No
The Friar's Society Orchestra,nork.html,1922 to 1923,Yes,Yes
The Gulf Coast Seven,gulfcoast.html,1923 to 1925,Yes,No
The Happy Six,happysix.html,1919 to 1922,Yes,?
The Harlem Footwarmers,harlem.html,1929 to 1930,Yes,Yes
The Jim-Dandies,jimdandies.html,1925,Yes,?
The Melody Sheiks,melsheiks.html,1925 to 1926,Yes,Yes
The Moonlight Revelers,moonlight.html,1929,Yes,No
The New Yorkers,newyorkers.html,1927 - 1928,Yes,Yes
The Plantation Jazz Orchestra,plantationjazz.html,1920 to 1922,No,Yes
The Plantation Orchestra,plantationo.html,1926,Yes,Yes
The Red Devils,reddevils.html,1931,Yes,?
The Red Heads,redheads.html,1925 to 1926,Yes,?
The Scranton Sirens Orchestra,sirens.html,1918 to 1928,Yes,Yes
The Six Black Diamonds,sixblackdi.html,1924,Yes,?
The Six Hottentots,6Hottentots.html,1927,Yes,No
The Six Jolly Jesters,sixjolly.html,1929,Yes,No
The Southern Serenaders,southern.html,1925,Yes,No
The Southland Six,ts6.html,1922,Yes,No
The Texas Blue Destroyers,texas.html,1924,Yes,No
The Three Deuces,3deuces.html,1941,Yes,No
The Three Jacks,3jacks.html,1928,Yes,?
The Three Virginians,3virginians.html,1929,Yes,?
The Travelers,travelers.html,1929 to 1931,Yes,No
The Virginians,virginians.html,1923 to 1928,Yes,No
The Washingtonians,wash.html,1923 to 1929,Yes,Yes
The Whoopee Makers,whoopee.html,1929 to 1931,Yes,Yes
The Yankee Six,yankee6.html,1925,Yes,?
Thelma Terry and her Playboys,terry.html,1928,Yes,Yes
Thomas Morris and his Orchestra,tmo.html,1926,Yes,No
Thomas Morris and his Seven Hot Babies,7hotbabies.html,1926,Yes,Yes
Thomas Morris Past Jazz Masters,pastjazz.html,1923,Yes,?
Thomas Waller with Morris' Hot Babies,twmhb.html,1927,Yes,Yes
Thomas's Devils,thomasdevils.html,1925,Yes,?
Thomas's Muscle Shoals Devils,thomasmsdevils.html,1925,Yes,?
Tim Brymn and his Black Devil Orchestra,blackdevil.html,1921,Yes,Yes
"Tiny Parham and his ""Forty"" Five",tp45.html,1927,Yes,?
Tiny Parham and his Musicians,tpm.html,1928 to 1930,Yes,Yes
Tom Dorsey and his Novelty Orchestra,dorseynovelty.html,1929,Yes,No
Tom Gates and his Orchestra,gates.html,1927,Yes,Yes
Tom Gerun and his Orchestra,tomgerun.html,1929 to 1932,Yes,Yes
Tom Gerunovitch and his Roof Garden Orchestra,tomgerunovitch.html,1928,Yes,Yes
Tommy Christian and his Orchestra ,christian.html,NA,NA,NA
Tommy Ladnier and his Orchestra,ladniero.html,1938,Yes,Yes
Tony Parenti's New Orleanians,tpno.html,1928 to 1929,Yes,Yes
Tram Bix & Lang,tbe.html,1927,Yes,?
Triangle Harmony Boys,triangle.html,1927,Yes,Yes
Trocadero Melody Boys,tmb.html,1925,Yes,?
Trombone Red and his Blue Six,trombonered.html,1931,Yes,?
Troy Floyd and his Plaza Hotel Orchestra,plaza.html,1928,Yes,Yes
Troy Floyd and his Shadowland Orchestra,shadowland.html,1929,Yes,Yes
Troy Harmonists,troyharmonists.html,1926,Yes,?
Tub Jug Washboard Band,tubjug.html,1928,Yes,?
Tuschinsky's Berceley's Jazz Band,tbjb.html,1926,Yes,?
University Six,universitysix.html,1925 to 1928,Yes,Yes
Vagabonds,vagabonds.html,1924 to 1928,Yes,No
Vance Dixon and his Pencils,pencils.html,1931,Yes,?
Varsity Eight,varsity8.html,1923 to 1930,Yes,No
Varsity Seven,varsity7.html,1939 to 1940,Yes,No
Vic Berton and his Orchestra,bertono.html,1935,Yes,Yes
Vick Myers and his Orchestra,vickmyerso.html,1927,Yes,Yes
Vick Myers' Atlanta Melody Artists,vickmyers.html,1925 to 1927,Yes,Yes
Vicksburg Blowers,vicksburgblowers.html,1927,Yes,?
Victor Jam Band,victorjamband.html,1937,Yes,No
Victor Lopez and His Hotel St. Regis Orchestra ,vlpzhsro.html,NA,NA,NA
Vincent Lopez and His Casa Lopez Orchestra,vlpzclo.html,1925 to 1928,Yes,Yes
Vincent Lopez and His Hotel Pennsylvania Orchestra,vlpzhpo.html,1922 to 1924,Yes,Yes
Vincent Lopez and His Orchestra ,vlpzo.html,NA,NA,NA
Viola McCoy accompanied by Bob Rickets Band,vmbrb.html,1924,Yes,?
Viola McCoy accompanied by Fletcher Henderson's Jazz Five,vmfhj5.html,1924,Yes,?
Viola McCoy accompanied by the Choo Choo Jazzers,vmchoochoo.html,1924,Yes,?
Viola McCoy accompanied by the Kansas City Five,vmkc5.html,1924,Yes,?
Viola McCoy and the Dixie Trio,mcoydt.html,1924,Yes,?
W.C. Handy and Orchestra,handyo2.html,1939,Yes,No
Wade's Moulin Rouge Orchestra,wmro.html,1923 to 1924,Yes,Yes
Wally Erickson and the Coliseum Orchestra,erickson.html,?,Yes,Yes
Walter Anderson and his Golden Pheasant Hoodlums,walteranderson.html,1927,Yes,Yes
Walter Barnes and his Royal Creolians,barnes.html,1927 to 1929,Yes,Yes
Walter Page's Blue Devils,bluedevils.html,1925 to 1933,Yes,Yes
Waring's Pennsylvanians,waringspa.html,1923 to 1984,Yes,Yes
Warner's Seven Aces,w7aces.html,1923 to 1927,Yes,Yes
Warren Mills and his Blue Serenaders,wmserenaders.html,1928 and 1929,Yes,No
We Three,wethree.html,1926,Yes,No
Wenskat Deutsches Tanz Sport Orchester,wenskatsport.html,1925,Yes,Yes
Wenskat Orchester,wenskat.html,1925 to 1926,Yes,Yes
Whistler's Jug Band,wjb.html,1924 to 1931,Yes,Yes
White City Jazzers,wcj.html,1929,Yes,?
White Way Jazzers,whitewayjazzers.html,1929,Yes,No
Whitey Kaufman's Original Pennsylvania Serenaders,kaufman.html,1924 to 1926,Yes,Yes
Wiedoeft-Wadsworth Quartet,wwq.html,1920,Yes,?
Wilbur Sweatman and his Acme Syncopators,"wswasync.html,wswasync.html,wswasync.html,wswasync.html","1924,1924,1924,1924","Yes,Yes,Yes,Yes","?,?,?,?"
Wilbur Sweatman and his Band,wswbnd.html,1903,Yes,Yes
Wilbur Sweatman and his Jass Band,wswjssbnd.html,1917,Yes,Yes
Wilbur Sweatman and his Orchestra,wswo.html,1935,Yes,?
Wilbur Sweatman's Brownies,wswbrn.html,1924,Yes,?
Wilbur Sweatman's Jazz Orchestra,wswjzzo.html,1918 to 1920,Yes,Yes
William Nappi and his Orchestra,nappio.html,1926 to 1927,Yes,?
Williamson's Beale Street Frolic Orchestra,frolic.html,1927,Yes,Yes
Willie Bryant and his Orchestra,williebryant.html,1935 to 1938,Yes,Yes
Willie Coulter and his Band,coulter.html,1927,Yes,No
Willie Jones and his Orchestra,williejones.html,1927,Yes,?
Wilton Crawley and his Orchestra,crawleyo.html,1929 to 1930,Yes,No
Wilton Crawley and the Washboard Rhythm Kings,crawleyrk.html,1930,Yes,No
Windy City Jazzers,wcjazzers.html,1929,Yes,?
Winegar's Pennsylvania Boys,winegar.html,1922 to 1929,Yes,Yes
Wolverine Orchestra,wolverine.html,1923 to 1924,Yes,Yes
Wynn's Creole Jazz Band,wynncreole.html,1928,Yes,?
Yerkes' Bluebird Orchestra,yerkesbbo.html,1920,Yes,Yes
Yerkes' Jazarimba Orchestra,jazarimba.html,1917 to 1921,Yes,Yes
Yerkes' Saxophone Sextette,yss.html,1919 to 1920,Yes,?
Yerkes' Southern Five,yerkess5.html,1920,Yes,?
Young's Creole Jazz Band,ycjb.html,1923,Yes,?
Zack Whyte and his Chocolate Beau Brummels,zackwhyte.html,1924 to1935,Yes,Yes
Zackie Moore's Illi-Noisy Seven,illinoisy.html,1927,Yes,?
Zutty and his Band,zuttyband.html,1935,Yes,?
Zutty Singleton and his Creole Band,zscb.html,1944,Yes,?
Zutty Singleton and his Orchestra,zuttyo.html,1936 and 1940,Yes,?
Zutty Singleton Trio,zst.html,1944,Yes,?
